Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0603_1608Metric,127.635,-80.15,90,top
C2,220pF,C_0603_1608Metric,125.73,-80.15,270,top
C3,1uF,C_1206_3216Metric,134.62,-79.17,90,top
C4,680uF,12.5x13.5cp-AS,131.064,-121.412,270,top
C5,220uF,CP_Elec_6.3x7.7,93.185,-117.475,180,top
D1,D_Zener,D_SOD-123F,137.16,-78.87,90,top
D2,D,D_SMA,108.585,-78.835,270,top
D3,D,D_SMA,104.775,-78.835,90,top
D4,D_Zener,D_SOD-323,85.09,-118.525,270,top
D5,D_Schottky,D_SMA,108.585,-118.11,90,top
D6,D_Zener,D_SOD-323,82.55,-118.525,270,top
L1,33uH,L_Wuerth_HCI-5040,102.38,-117.475,180,top
Q1,Q_NMOS_GDS,TO-252-2,165.608,-119.38,0,top
R1,4k7,R_0603_1608Metric,121.92,-80.2,90,top
R2,51,R_0603_1608Metric,120.015,-80.2,270,top
R3,1k,R_0603_1608Metric,123.825,-80.2,90,top
R4,60,R_0603_1608Metric,134.43,-130.81,180,top
R5,60,R_0603_1608Metric,114.745,-130.81,0,top
R6,1K,R_0603_1608Metric,161.544,-114.808,180,top
U2,LM2596S-5,TO-263-5_TabPin3,117.7,-121.345,270,top
U3,MCP1416,SOT-23-5,100.65,-78.91,90,top
U1,Socket,DIP-8,142.24,-81.28,90,top
J1,Pin Header,HDR-TH,136.93,-111.14,270,top
J2,Pin Header,HDR-TH,136.93,-85.74,270,top
J5,D-Sub,DB9-TH,88.9,-124.16,0,top
SW1,Rotay Encoder,TH,92.71,-73.66,270,top
